ILCE,MAHALLE,Ortalama_Tuketim,Standart_Sapma,Yaz_Ortalama,Kis_Ortalama,Yazlikci_Skoru,Kume_No,Segment_Adi
KEMALPAŞA,BAĞYURDU 29 EKİM,"11,79","5,24","13,30","10,04","1,32",1,Standart Sakinler
KEMALPAŞA,BAĞYURDU KAZIMPAŞA,"12,32","5,88","13,34","10,89","1,23",1,Standart Sakinler
KEMALPAŞA,BAĞYURDU KEMAL ATATÜRK,"12,51","5,10","14,76","10,82","1,36",1,Standart Sakinler
KEMALPAŞA,BAĞYURDU YENİ,"11,92","5,18","13,65","10,32","1,32",1,Standart Sakinler
KEMALPAŞA,BEŞPINAR,"17,63","56,42","12,54","12,07","1,04",1,Standart Sakinler
KEMALPAŞA,CUMALI,"21,12","12,92","27,71","16,81","1,65",1,Standart Sakinler
KEMALPAŞA,DAMLACIK,"26,01","23,90","25,01","24,35","1,03",1,Standart Sakinler
KEMALPAŞA,DEREKÖY,"19,38","10,98","22,59","15,22","1,48",1,Standart Sakinler
KEMALPAŞA,GÖKYAKA,"23,85","17,11","33,13","18,42","1,80",0,Yazlıkçı / Mevsimsel
KEMALPAŞA,GÖKÇEYURT,"17,65","7,39","22,71","14,48","1,57",1,Standart Sakinler
KEMALPAŞA,HALİLBEYLİ,"19,01","8,74","22,37","18,06","1,24",1,Standart Sakinler
KEMALPAŞA,HAMZABABA,"15,94","8,23","18,22","14,93","1,22",1,Standart Sakinler
KEMALPAŞA,KAMBERLER,"14,40","7,67","17,91","11,68","1,53",1,Standart Sakinler
KEMALPAŞA,KEMALPAŞA OSB,"5,51","2,95","8,11","3,90","2,08",0,Yazlıkçı / Mevsimsel
KEMALPAŞA,KIZILÜZÜM,"14,91","8,12","18,25","13,33","1,37",1,Standart Sakinler
KEMALPAŞA,KUYUCAK,"17,92","8,46","22,00","15,13","1,45",1,Standart Sakinler
KEMALPAŞA,MEHMET AKİF ERSOY,"11,43","4,29","11,86","10,47","1,13",1,Standart Sakinler
KEMALPAŞA,NAZARKÖY,"18,48","8,05","22,97","15,38","1,49",1,Standart Sakinler
